year;Inflation rate;ECB interest rate in percentage
Jan 2018;1,40;0
Feb 2018;1,10;0
Mar 2018;1,50;0
Apr 2018;1,30;0
May 2018;3,10;0
Jun 2018;1,90;0
Jul 2018;1,90;0
Aug 2018;1,90;0
Sep 2018;1,90;0
Oct 2018;2,30;0
Nov 2018;2,10;0
Dec 2018;1,60;0
Jan 2019;1,40;0
Feb 2019;1,50;0
Mar 2019;1,30;0
Apr 2019;2;0
May 2019;1,40;0
Jun 2019;1,60;0
Jul 2019;1,70;0
Aug 2019;1,40;0
Sep 2019;1,20;0
Oct 2019;1,10;0
Nov 2019;1,10;0
Dec 2019;1,50;0
Jan 2020;1,70;0
Feb 2020;1,70;0
Mar 2020;1,40;0
Apr 2020;0,90;0
May 2020;0,60;0
Jun 2020;0,90;0
Jul 2020;-0,10;0
Aug 2020;0;0
Sep 2020;-0,20;0
Oct 2020;-0,20;0
Nov 2020;-0,30;0
Dec 2020;-0,30;0
Jan 2021;1;0
Feb 2021;1,30;0
Mar 2021;1,70;0
Apr 2021;2;0
May 2021;2,50;0
Jun 2021;2,30;0
Jul 2021;3,80;0
Aug 2021;3,90;0
Sep 2021;4,10;0
Oct 2021;4,50;0
Nov 2021;5,20;0
Dec 2021;5,30;0
Jan 2022;4,90;0
Feb 2022;5,10;0
Mar 2022;7,30;0
Apr 2022;7,40;0
May 2022;7,90;0
June 2022;7,60;0
July 2022;7,50;0,50
Aug 2022;7,90;0,50
Sep 2022;10;1,25
Oct 2022;10,40;1,25
Nov 2022;10;2
Dec 2022;8,60;2,50
Jan 2023;8,70;2,50
Feb 2023;8,70;3
Mar 2023;7,40;3,50
Apr 2023;7,20;3,50
May 2023;6,10;3,75
Jun 2023;6,40;4
Jul 2023;6,20;4
Aug 2023;6,10;4,25