year;month;overall_index_excluding_energy;overall_index_excluding_household_energy;overall_index_excluding_heating_oil_and_fuels;energy_household_and_fuels;energy_household_electricity_gas_and_other_fuels;heating_oil_and_fuels
2023;Oct;115.0;116.1;116.6;152.0;154.1;153.0
2023;Sep;114.9;116.1;116.5;154.7;155.7;157.0
2023;Aug;114.6;115.8;116.3;153.5;155.9;153.2
2023;Jul;114.5;115.4;116.2;150.4;154.9;146.2
2023;Jun;114.1;115.0;115.8;150.5;155.4;145.5
2023;May;113.7;114.7;115.5;150.8;156.2;145.1
2023;Apr;113.7;114.7;115.5;152.9;157.1;149.7
2023;Mar;113.2;114.2;115.0;151.9;157.1;147.8
2023;Feb;112.2;113.3;114.1;151.9;156.8;148.3
2023;Jan;111.3;112.4;113.2;151.9;157.1;149.2
2022;Dec;111.1;112.1;112.1;140.2;139.0;147.0
2022;Nov;110.4;111.8;112.1;155.8;155.7;161.9
2022;Oct;110.0;111.7;111.7;157.1;154.0;169.4
2022;Sep;109.4;111.1;110.7;153.2;146.5;170.4
2022;Aug;108.2;109.4;109.3;141.8;139.9;152.5
2022;Jul;107.8;109.2;108.7;142.3;135.9;158.6
2022;Jun;106.9;108.6;107.9;146.1;136.3;166.8
2022;May;106.8;108.7;107.7;147.0;133.1;171.7
2022;Apr;106.1;107.9;106.9;143.1;129.7;167.1
2022;Mar;105.0;107.1;105.7;146.7;128.9;180.1
2022;Feb;104.3;105.5;104.8;127.5;118.6;142.9
2022;Jan;103.8;104.8;104.2;123.4;115.1;137.4
2021;Dec;103.8;104.7;103.8;116.5;106.4;132.6
2021;Nov;103.4;104.4;103.3;118.6;105.9;138.7
2021;Oct;103.3;104.3;103.3;116.3;104.7;134.8
2021;Sep;103.1;103.8;103.0;112.2;102.7;126.8
2021;Aug;102.9;103.6;102.8;111.6;102.1;125.9
2021;Jul;102.8;103.5;102.7;111.0;101.9;124.9
2021;Jun;102.4;103.0;102.3;109.5;101.6;121.7
2021;May;102.2;102.7;102.1;108.5;101.3;119.6
2021;Apr;101.9;102.4;101.9;107.9;101.1;118.2
2021;Mar;101.6;102.1;101.5;107.9;101.3;118.1
2021;Feb;101.3;101.6;101.2;105.5;101.0;112.4
2021;Jan;100.8;101.1;100.8;103.9;100.7;108.9
2020;Dec;100.0;99.9;99.9;98.3;98.5;98.3
2020;Nov;99.9;99.8;99.8;97.0;98.0;95.2
2020;Oct;100.0;100.0;99.9;98.4;98.2;97.8
2020;Sep;99.9;99.8;99.8;98.2;98.3;97.2
2020;Aug;99.7;99.7;99.7;98.8;98.8;98.2
2020;Jul;99.7;99.7;99.7;99.2;99.0;99.1
2020;Jun;100.6;100.5;100.6;99.6;100.8;97.8
2020;May;100.6;100.3;100.6;97.8;101.1;93.4
2020;Apr;100.5;100.3;100.5;99.0;101.5;95.9
2020;Mar;100.1;100.2;100.1;102.7;101.7;104.5
2020;Feb;99.7;100.0;99.8;105.1;102.1;109.9
2020;Jan;99.4;99.7;99.4;106.0;102.0;112.8
2019;Dec;99.7;100.0;99.7;104.4;100.8;110.7
2019;Nov;99.1;99.4;99.1;104.5;100.7;111.2
2019;Oct;99.9;100.2;99.9;104.6;100.8;111.6
2019;Sep;99.8;100.2;99.8;104.6;100.8;112.0
2019;Aug;99.9;100.2;99.8;104.6;100.3;112.0
2019;Jul;99.9;100.4;99.8;105.6;100.4;114.7
2019;Jun;99.4;99.9;99.4;105.7;100.1;115.3
2019;May;99.0;99.6;98.9;107.0;100.9;118.7
2019;Apr;98.9;99.4;98.9;105.3;100.5;114.5
2019;Mar;98.1;98.4;98.1;103.2;99.9;109.7
2019;Feb;97.8;98.1;97.8;102.5;99.7;108.3
2019;Jan;97.3;97.6;97.3;102.3;99.2;108.3
2018;Dec;97.9;98.5;97.8;104.4;98.4;116.4
2018;Nov;97.5;98.3;97.4;108.6;100.7;127.2
2018;Oct;98.4;99.1;98.3;106.8;99.8;122.9
2018;Sep;98.4;99.0;98.2;105.8;98.8;120.9
2018;Aug;98.3;98.9;98.1;103.9;97.5;116.3
2018;Jul;98.3;98.8;98.1;103.2;97.0;114.6
2018;Jun;97.8;98.4;97.7;103.2;97.0;114.9
2018;May;97.8;98.3;97.6;102.8;97.1;113.6
2018;Apr;97.2;97.6;97.1;100.6;96.3;108.0
2018;Mar;97.2;97.4;97.0;99.0;95.6;104.2
2018;Feb;96.5;96.8;96.4;99.6;95.5;105.7
2018;Jan;96.1;96.4;96.0;100.0;96.1;106.6